,player_name,date,event,category,event_round,result,opponent,score,average
19020,John Part,18/03/2018,PDPA Players Championship Milton Keynes 6,PDC Pro Tour,Last 128,Lost,Kim Huybrechts,2 V 6,80.01
19021,John Part,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 64,Lost,Terry Jenkins,4 V 6,96.17
19022,John Part,17/03/2018,PDPA Players Championship Milton Keynes 5,PDC Pro Tour,Last 128,Won,Mick McGowan,6 V 3,89.09
19023,John Part,11/03/2018,PDPA Players Championship Barnsley 4,PDC Pro Tour,Last 64,Lost,Jeffrey de Zwaan,2 V 6,82.75
19024,John Part,11/03/2018,PDPA Players Championship Barnsley 4,PDC Pro Tour,Last 128,Won,Jim Brown,6 V 1,75.09
19025,John Part,10/03/2018,PDPA Players Championship Barnsley 3,PDC Pro Tour,Last 64,Lost,John Henderson,2 V 6,79.34
19026,John Part,10/03/2018,PDPA Players Championship Barnsley 3,PDC Pro Tour,Last 128,Won,Mark Dudbridge,6 V 2,86.89
19027,John Part,09/03/2018,PDC Austrian Darts Open UK Qualifier,PDC QU,Last 72,Lost,Stephen Burton,5 V 6,82.98
19028,John Part,09/03/2018,PDC German Open UK Qualifier,PDC QU,Preliminary,Lost,Luke Woodhouse,2 V 6,84.11
19029,John Part,04/03/2018,UK Open,PDC Premier,Quarter Final,Lost,Robert Owen,3 V 10,80.72
19030,John Part,03/03/2018,UK Open,PDC Premier,Last 16,Won,Mervyn King,10 V 8,86.14
19031,John Part,03/03/2018,UK Open,PDC Premier,Last 32,Won,Ron Meulenkamp,10 V 9,87.41
19032,John Part,02/03/2018,UK Open,PDC Premier,Last 64,Won,David Evans,10 V 2,92.38
19033,John Part,02/03/2018,UK Open,PDC Premier,Last 96,Won,Paul Whitworth,6 V 0,71.57
19034,John Part,02/03/2018,UK Open,PDC Premier,Last 128,Won,John Morris,6 V 2,82.24
19035,John Part,18/02/2018,PDPA Players Championship Barnsley 2,PDC Pro Tour,Last 128,Lost,Keegan Brown,2 V 6,74.52
19036,John Part,17/02/2018,PDPA Players Championship Barnsley 1,PDC Pro Tour,Last 128,Lost,Jose Perales,3 V 6,92.84
19037,John Part,16/02/2018,PDC German Darts Grand Prix UK Qualifier,PDC QU,Last 72,Lost,Matt Edgar,3 V 6,80.19
19038,John Part,16/02/2018,PDC German Darts Grand Prix UK Qualifier,PDC QU,Preliminary,Won,Paul Nicholson,6 V 5,81.94
19039,John Part,16/02/2018,PDC European Darts Open UK Qualifier,PDC QU,Last 36,Lost,James Wade,4 V 6,91.87
19040,John Part,16/02/2018,PDC European Darts Open UK Qualifier,PDC QU,Last 72,Won,Jason Cullen,6 V 5,85.21
19041,John Part,16/02/2018,PDC European Darts Open UK Qualifier,PDC QU,Preliminary,Won,Devon Petersen,6 V 3,87.44
19042,John Part,11/02/2018,UK Open Qualifier 6,PDC Pro Tour,Last 256,Lost,Mark Wilson,1 V 6,80.15
19043,John Part,10/02/2018,UK Open Qualifier 5,PDC Pro Tour,Last 256,Lost,Corey Cadby,0 V 6,83.25
19044,John Part,09/02/2018,UK Open Qualifier 4,PDC Pro Tour,Last 32,Lost,Andrew Gilding,2 V 6,78.00
19045,John Part,09/02/2018,UK Open Qualifier 4,PDC Pro Tour,Last 64,Won,Dave Ladley,6 V 4,82.52
19046,John Part,09/02/2018,UK Open Qualifier 4,PDC Pro Tour,Last 128,Won,George Killington,6 V 5,83.24
19047,John Part,09/02/2018,UK Open Qualifier 4,PDC Pro Tour,Last 256,Won,Bradley Brooks,6 V 2,88.34
19048,John Part,04/02/2018,UK Open Qualifier 3,PDC Pro Tour,Last 256,Lost,Jimmy Hendriks,4 V 6,84.34
19049,John Part,03/02/2018,UK Open Qualifier 2,PDC Pro Tour,Last 256,Lost,Robert Owen,2 V 6,74.40
19050,John Part,02/02/2018,UK Open Qualifier 1,PDC Pro Tour,Last 256,Lost,Christian Bunse,0 V 6,62.79
19051,John Part,03/06/2017,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Lost,Mensur Suljovic,0 V 4,72.09
19052,John Part,05/06/2016,PDC World Cup of Darts,PDC U,Quarter Final Sub Match,Won,Brendan Dolan,4 V 3,81.47
19053,John Part,04/06/2016,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Mark Webster,4 V 2,81.19
19054,John Part,13/02/2015,PDC German Darts Championship,PDC ET,Last 48,Lost,Ricky Williams,1 V 6,79.13
19055,John Part,18/12/2014,PDC World Championship,PDC WC,Last 64,Lost,Keegan Brown,2 V 3,84.78
19056,John Part,22/12/2013,PDC World Championship,PDC WC,Last 32,Lost,Wes Newton,0 V 4,87.89
19057,John Part,13/12/2013,PDC World Championship,PDC WC,Last 64,Won,Mareno Michels,3 V 2,82.48
19058,John Part,29/11/2013,Players Championship Finals,PDC Premier,Last 32,Lost,Andy Hamilton,5 V 6,81.83
19059,John Part,08/10/2013,World Grand Prix,PDC Premier,Last 32,Lost,Michael van Gerwen,0 V 2,d 87.53
19060,John Part,20/07/2013,World Matchplay,PDC Premier,Last 32,Lost,James Wade,8 V 10,88.28
19061,John Part,05/07/2013,European Championship,PDC Premier,Last 32,Lost,Kevin Painter,4 V 6,91.33
19062,John Part,01/04/2013,PDC European Darts Trophy,PDC ET,Quarter Final,Lost,Michael van Gerwen,1 V 6,78.00
19063,John Part,01/04/2013,PDC European Darts Trophy,PDC ET,Last 16,Won,Ronnie Baxter,6 V 2,84.97
19064,John Part,31/03/2013,PDC European Darts Trophy,PDC ET,Last 32,Won,Robert Thornton,6 V 4,88.83
19065,John Part,10/03/2013,PDC UK Masters,PDC ET,Final,Won,Stuart Kellett,6 V 4,94.04
19066,John Part,10/03/2013,PDC UK Masters,PDC ET,Semi Final,Won,Adrian Lewis,6 V 2,96.43
19067,John Part,10/03/2013,PDC UK Masters,PDC ET,Quarter Final,Won,Simon Whitlock,6 V 4,96.54
19068,John Part,10/03/2013,PDC UK Masters,PDC ET,Last 16,Won,Mensur Suljovic,6 V 5,88.02
19069,John Part,09/03/2013,PDC UK Masters,PDC ET,Last 32,Won,Gary Anderson,6 V 3,93.99
19070,John Part,21/12/2012,PDC World Championship,PDC WC,Last 32,Lost,Terry Jenkins,1 V 4,89.34
19071,John Part,15/12/2012,PDC World Championship,PDC WC,Last 64,Won,Joe Cullen,3 V 0,89.56
19072,John Part,17/11/2012,Grand Slam Of Darts,PDC U,Quarter Final,Lost,Andy Hamilton,12 V 16,90.19
19073,John Part,16/11/2012,Grand Slam Of Darts,PDC U,Last 16,Won,Brendan Dolan,10 V 6,89.10
19074,John Part,14/11/2012,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Tony O Shea,5 V 4,80.19
19075,John Part,12/11/2012,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Adrian Lewis,5 V 2,78.66
19076,John Part,11/11/2012,Grand Slam Of Darts,PDC U,Last 32 Group,Lost,Gary Anderson,4 V 5,85.50
19077,John Part,23/06/2012,PDC German Darts Championship,PDC ET,Last 32,Lost,Terry Jenkins,2 V 6,86.27
19078,John Part,03/02/2012,PDC World Cup of Darts,PDC U,Last 16 Sub Match,Won,Adrian Lewis,4 V 3,86.50
19079,John Part,30/12/2011,PDC World Championship,PDC WC,Quarter Final,Lost,James Wade,4 V 5,92.64
19080,John Part,29/12/2011,PDC World Championship,PDC WC,Last 16,Won,Kevin Painter,4 V 2,92.32
19081,John Part,27/12/2011,PDC World Championship,PDC WC,Last 32,Won,Richie Burnett,4 V 1,91.82
19082,John Part,21/12/2011,PDC World Championship,PDC WC,Last 64,Won,John Henderson,3 V 0,88.82
19083,John Part,08/12/2011,Players Championship Finals,PDC Premier,Last 32,Lost,Wayne Jones,0 V 6,87.52
19084,John Part,18/11/2011,Grand Slam Of Darts,PDC U,Last 16,Lost,Adrian Lewis,8 V 10,92.44
19085,John Part,16/11/2011,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Arron Monk,5 V 3,90.79
19086,John Part,14/11/2011,Grand Slam Of Darts,PDC U,Last 32 Group,Lost,Mark Webster,1 V 5,83.52
19087,John Part,13/11/2011,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Jan Dekker,5 V 2,80.90
19088,John Part,05/10/2011,World Grand Prix,PDC Premier,Last 16,Lost,Brendan Dolan,1 V 3,d 84.77
19089,John Part,03/10/2011,World Grand Prix,PDC Premier,Last 32,Won,Adrian Lewis,2 V 1,d 81.94
19090,John Part,28/07/2011,European Championship,PDC Premier,Last 32,Lost,Peter Wright,5 V 6,83.03
19091,John Part,16/07/2011,World Matchplay,PDC Premier,Last 32,Lost,Mark Webster,8 V 10,90.75
19092,John Part,19/12/2010,PDC World Championship,PDC WC,Last 64,Lost,Per Laursen,0 V 3,86.76
19093,John Part,28/12/2009,PDC World Championship,PDC WC,Last 32,Lost,Kirk Shepherd,1 V 4,76.51
19094,John Part,21/12/2009,PDC World Championship,PDC WC,Last 64,Won,Toon Greebe,3 V 0,95.45
19095,John Part,17/11/2009,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Raymond van Barneveld,5 V 4,100.38
19096,John Part,15/11/2009,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Francis Hoenselaar,5 V 3,87.07
19097,John Part,14/11/2009,Grand Slam Of Darts,PDC U,Last 32 Group,Lost,Kevin Painter,3 V 5,93.29
19098,John Part,29/10/2009,European Championship,PDC Premier,Last 32,Lost,Colin Lloyd,5 V 6,92.27
19099,John Part,05/10/2009,World Grand Prix,PDC Premier,Last 32,Lost,Colin Lloyd,0 V 2,d 86.44
19100,John Part,21/07/2009,World Matchplay,PDC Premier,Last 32,Lost,Vincent van der Voort,6 V 10,86.62
19101,John Part,05/07/2009,Las Vegas Desert Classic,PDC Premier,Semi Final,Lost,Phil Taylor,1 V 11,92.59
19102,John Part,04/07/2009,Las Vegas Desert Classic,PDC Premier,Quarter Final,Won,Terry Jenkins,10 V 7,93.84
19103,John Part,03/07/2009,Las Vegas Desert Classic,PDC Premier,Last 16,Won,Jelle Klaasen,8 V 7,87.60
19104,John Part,01/07/2009,Las Vegas Desert Classic,PDC Premier,Last 32,Won,Scotty Burnett,6 V 2,84.96
19105,John Part,07/05/2009,Premier League,PDC U,Exhibition,Lost,Gary Anderson,4 V 7,93.54
19106,John Part,30/04/2009,Premier League,PDC U,League 8,Lost,Terry Jenkins,3 V 8,83.33
19107,John Part,23/04/2009,Premier League,PDC U,League 8,Lost,Phil Taylor,3 V 8,100.05
19108,John Part,09/04/2009,Premier League,PDC U,League 8,Drew,Jelle Klaasen,7 V 7,90.67
19109,John Part,09/04/2009,Premier League,PDC U,League 8,Won,Mervyn King,8 V 6,88.95
19110,John Part,02/04/2009,Premier League,PDC U,League 8,Lost,Raymond van Barneveld,1 V 8,94.75
19111,John Part,26/03/2009,Premier League,PDC U,League 8,Drew,James Wade,7 V 7,99.28
19112,John Part,19/03/2009,Premier League,PDC U,League 8,Lost,Phil Taylor,3 V 8,95.14
19113,John Part,12/03/2009,Premier League,PDC U,League 8,Drew,Jelle Klaasen,7 V 7,88.63
19114,John Part,05/03/2009,Premier League,PDC U,League 8,Won,Terry Jenkins,8 V 5,92.14
19115,John Part,26/02/2009,Premier League,PDC U,League 8,Won,Wayne Mardle,8 V 1,87.90
19116,John Part,19/02/2009,Premier League,PDC U,League 8,Lost,Mervyn King,2 V 8,94.98
19117,John Part,12/02/2009,Premier League,PDC U,League 8,Drew,Raymond van Barneveld,7 V 7,92.43
19118,John Part,05/02/2009,Premier League,PDC U,League 8,Drew,James Wade,7 V 7,88.23
19119,John Part,31/01/2009,Players Championship Finals,PDC Premier,Last 16,Lost,Dennis Priestley,5 V 6,93.02
19120,John Part,30/01/2009,Players Championship Finals,PDC Premier,Last 32,Won,Denis Ovens,6 V 3,90.19
19121,John Part,19/12/2008,PDC World Championship,PDC WC,Last 64,Lost,Bill Davis,0 V 3,91.50
19122,John Part,19/11/2008,Grand Slam Of Darts,PDC U,Last 16,Lost,Mark Webster,2 V 10,83.68
19123,John Part,17/11/2008,Grand Slam Of Darts,PDC U,Last 32 Group,Lost,Wayne Mardle,3 V 5,94.47
19124,John Part,16/11/2008,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Kevin McDine,5 V 1,92.11
19125,John Part,15/11/2008,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Anastasia Dobromyslova,5 V 1,78.22
19126,John Part,30/10/2008,European Championship,PDC Premier,Last 32,Lost,Robert Thornton,3 V 5,90.06
19127,John Part,10/10/2008,World Grand Prix,PDC Premier,Quarter Final,Lost,Terry Jenkins,2 V 4,d 85.35
19128,John Part,09/10/2008,World Grand Prix,PDC Premier,Last 16,Won,Jacko Barry,3 V 0,d 80.47
19129,John Part,07/10/2008,World Grand Prix,PDC Premier,Last 32,Won,Chris Mason,2 V 0,d 79.63
19130,John Part,23/07/2008,World Matchplay,PDC Premier,Last 16,Lost,Alan Tabern,7 V 13,90.26
19131,John Part,21/07/2008,World Matchplay,PDC Premier,Last 32,Won,Chris Mason,10 V 3,85.24
19132,John Part,02/07/2008,Las Vegas Desert Classic,PDC Premier,Last 32,Lost,Mervyn King,4 V 6,87.38
19133,John Part,01/05/2008,Premier League,PDC U,League 8,Lost,James Wade,5 V 8,97.68
19134,John Part,24/04/2008,Premier League,PDC U,League 8,Won,Terry Jenkins,8 V 5,92.50
19135,John Part,17/04/2008,Premier League,PDC U,League 8,Lost,Phil Taylor,3 V 8,103.66
19136,John Part,10/04/2008,Premier League,PDC U,League 8,Lost,Adrian Lewis,2 V 8,92.33
19137,John Part,03/04/2008,Premier League,PDC U,League 8,Lost,Wayne Mardle,5 V 8,94.89
19138,John Part,27/03/2008,Premier League,PDC U,League 8,Lost,Raymond van Barneveld,6 V 8,89.34
19139,John Part,20/03/2008,Premier League,PDC U,League 8,Won,Peter Manley,8 V 5,96.69
19140,John Part,13/03/2008,Premier League,PDC U,League 8,Lost,Phil Taylor,3 V 8,102.74
19141,John Part,06/03/2008,Premier League,PDC U,League 8,Won,Adrian Lewis,8 V 6,85.20
19142,John Part,28/02/2008,Premier League,PDC U,League 8,Lost,Terry Jenkins,2 V 8,95.66
19143,John Part,21/02/2008,Premier League,PDC U,League 8,Lost,James Wade,4 V 8,88.57
19144,John Part,14/02/2008,Premier League,PDC U,League 8,Won,Wayne Mardle,8 V 6,95.90
19145,John Part,07/02/2008,Premier League,PDC U,League 8,Lost,Raymond van Barneveld,4 V 8,91.81
19146,John Part,31/01/2008,Premier League,PDC U,League 8,Drew,Peter Manley,7 V 7,94.33
19147,John Part,01/01/2008,PDC World Championship,PDC WC,Final,Won,Kirk Shepherd,7 V 2,92.86
19148,John Part,30/12/2007,PDC World Championship,PDC WC,Semi Final,Won,Kevin Painter,6 V 2,92.84
19149,John Part,29/12/2007,PDC World Championship,PDC WC,Quarter Final,Won,James Wade,5 V 4,94.81
19150,John Part,28/12/2007,PDC World Championship,PDC WC,Last 16,Won,Alex Roy,4 V 0,91.32
19151,John Part,26/12/2007,PDC World Championship,PDC WC,Last 32,Won,Mensur Suljovic,4 V 1,99.06
19152,John Part,21/12/2007,PDC World Championship,PDC WC,Last 64,Won,Charles Losper,3 V 1,94.08
19153,John Part,23/11/2007,Grand Slam Of Darts,PDC U,Quarter Final,Lost,Phil Taylor,7 V 10,92.61
19154,John Part,22/11/2007,Grand Slam Of Darts,PDC U,Last 16,Won,Colin Lloyd,10 V 7,96.18
19155,John Part,20/11/2007,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Andy Jenkins,5 V 0,95.13
19156,John Part,18/11/2007,Grand Slam Of Darts,PDC U,Last 32 Group,Won,Mark Webster,5 V 4,94.89
19157,John Part,17/11/2007,Grand Slam Of Darts,PDC U,Last 32 Group,Lost,Gary Mawson,2 V 5,81.50
19158,John Part,13/10/2007,World Grand Prix,PDC Premier,Semi Final,Lost,Terry Jenkins,3 V 5,d 83.71
19159,John Part,12/10/2007,World Grand Prix,PDC Premier,Quarter Final,Won,Adrian Gray,4 V 2,d 86.62
19160,John Part,10/10/2007,World Grand Prix,PDC Premier,Last 16,Won,Wayne Mardle,3 V 0,d 87.82
19161,John Part,08/10/2007,World Grand Prix,PDC Premier,Last 32,Won,Billy Matthews,2 V 0,d 80.51
19162,John Part,04/09/2007,World Darts Trophy,PDC Premier,Last 16,Lost,Gary Anderson,1 V 3,90.54
19163,John Part,01/09/2007,World Darts Trophy,PDC Premier,Last 32,Won,Niels de Ruiter,3 V 1,91.32
19164,John Part,24/07/2007,World Matchplay,PDC Premier,Last 16,Lost,Terry Jenkins,8 V 13,91.83
19165,John Part,23/07/2007,World Matchplay,PDC Premier,Last 32,Won,Alan Warriner-Little,10 V 5,94.62
19166,John Part,08/07/2007,Las Vegas Desert Classic,PDC Premier,Semi Final,Lost,Raymond van Barneveld,7 V 11,100.86
19167,John Part,08/07/2007,Las Vegas Desert Classic,PDC Premier,Quarter Final,Won,Dennis Smith,10 V 9,92.55
19168,John Part,08/07/2007,Las Vegas Desert Classic,PDC Premier,Last 16,Won,Mark Dudbridge,8 V 7,92.69
19169,John Part,08/07/2007,Las Vegas Desert Classic,PDC Premier,Last 32,Won,Steve Maish,6 V 4,96.83
19170,John Part,20/05/2007,PDC US Open,PDC Premier Open,Semi Final,Lost,Phil Taylor,1 V 3,94.22
19171,John Part,20/05/2007,PDC US Open,PDC Premier Open,Quarter Final,Won,Ronnie Baxter,3 V 0,97.88
19172,John Part,06/05/2007,International Darts League,PDC Premier,Last 32 Group,Lost,Simon Whitlock,5 V 6,90.30
19173,John Part,05/05/2007,International Darts League,PDC Premier,Last 32 Group,Won,Gary Robson,6 V 4,82.44
19174,John Part,05/05/2007,International Darts League,PDC Premier,Last 32 Group,Lost,Peter Manley,4 V 6,92.10
19175,John Part,01/01/2007,PDC World Championship,PDC WC,Last 32,Lost,Chris Mason,2 V 4,85.56
19176,John Part,01/01/2007,PDC World Championship,PDC WC,Last 64,Won,Alan Green,3 V 2,86.56
19177,John Part,29/10/2006,World Grand Prix,PDC Premier,Last 32,Lost,Lionel Sams,1 V 2,d 81.33
19178,John Part,29/07/2006,World Matchplay,PDC Premier,Last 16,Lost,Phil Taylor,2 V 13,83.39
19179,John Part,29/07/2006,World Matchplay,PDC Premier,Last 32,Won,Wes Newton,10 V 2,88.35
19180,John Part,02/07/2006,Las Vegas Desert Classic,PDC Premier,Final,Won,Raymond van Barneveld,6 V 3,92.79
19181,John Part,02/07/2006,Las Vegas Desert Classic,PDC Premier,Semi Final,Won,Wes Newton,4 V 2,90.60
19182,John Part,02/07/2006,Las Vegas Desert Classic,PDC Premier,Quarter Final,Won,Terry Jenkins,3 V 2,89.07
19183,John Part,21/05/2006,World Series Of Darts,PDC U,Last 32,Lost,John Kuczynski,5 V 6,89.08
19184,John Part,02/01/2006,PDC World Championship,PDC WC,Last 16,Lost,Wayne Mardle,2 V 4,93.39
19185,John Part,02/01/2006,PDC World Championship,PDC WC,Last 32,Won,Chris Mason,4 V 3,95.46
19186,John Part,02/01/2006,PDC World Championship,PDC WC,Last 64,Won,Cheng An Liu,3 V 0,93.38
19187,John Part,30/07/2005,World Matchplay,PDC Premier,Final,Lost,Colin Lloyd,11 V 18,94.53
19188,John Part,30/07/2005,World Matchplay,PDC Premier,Semi Final,Won,Peter Manley,18 V 16,89.22
19189,John Part,30/07/2005,World Matchplay,PDC Premier,Quarter Final,Won,Phil Taylor,16 V 11,97.05
19190,John Part,30/07/2005,World Matchplay,PDC Premier,Last 16,Won,Andy Jenkins,13 V 8,94.02
19191,John Part,03/07/2005,Las Vegas Desert Classic,PDC Premier,Semi Final,Lost,Wayne Mardle,2 V 4,95.25
19192,John Part,03/07/2005,Las Vegas Desert Classic,PDC Premier,Quarter Final,Won,Roland Scholten,3 V 1,89.16
19193,John Part,03/01/2005,PDC World Championship,PDC WC,Last 16,Lost,Mark Dudbridge,2 V 4,91.67
19194,John Part,03/01/2005,PDC World Championship,PDC WC,Last 32,Won,Gerry Convery,4 V 1,89.80
19195,John Part,12/12/2004,China Telecom Cup,PDC U,Quarter Final,Lost,Phil Taylor,0 V 3,0.00
19196,John Part,18/10/2004,World Grand Prix,PDC Premier,Last 32,Lost,Ronnie Baxter,0 V 2,d 81.36
19197,John Part,29/07/2004,World Matchplay,PDC Premier,Semi Final,Lost,Phil Taylor,8 V 17,92.42
19198,John Part,29/07/2004,World Matchplay,PDC Premier,Quarter Final,Won,Andy Jenkins,16 V 14,91.61
19199,John Part,29/07/2004,World Matchplay,PDC Premier,Last 16,Won,Bob Anderson,17 V 15,86.85
19200,John Part,29/07/2004,World Matchplay,PDC Premier,Last 32,Won,Colin Monk,10 V 0,90.54
19201,John Part,04/07/2004,Las Vegas Desert Classic,PDC Premier,Semi Final,Lost,Wayne Mardle,1 V 4,87.90
19202,John Part,04/07/2004,Las Vegas Desert Classic,PDC Premier,Quarter Final,Won,Richie Burnett,3 V 1,91.77
19203,John Part,06/06/2004,UK Open,PDC Premier,Final,Lost,Roland Scholten,6 V 11,85.98
19204,John Part,06/06/2004,UK Open,PDC Premier,Semi Final,Won,Andy Jenkins,8 V 7,85.02
19205,John Part,06/06/2004,UK Open,PDC Premier,Quarter Final,Won,Phil Taylor,8 V 6,89.94
19206,John Part,06/06/2004,UK Open,PDC Premier,Last 16,Won,Dennis Priestley,8 V 7,91.83
19207,John Part,04/01/2004,PDC World Championship,PDC WC,Last 32,Lost,Mark Dudbridge,3 V 4,90.09
19208,John Part,18/10/2003,World Grand Prix,PDC Premier,Final,Lost,Phil Taylor,2 V 7,d 83.25
19209,John Part,18/10/2003,World Grand Prix,PDC Premier,Semi Final,Won,Peter Manley,6 V 3,d 83.43
19210,John Part,18/10/2003,World Grand Prix,PDC Premier,Quarter Final,Won,Kevin Painter,4 V 1,d 82.20
19211,John Part,05/07/2003,Las Vegas Desert Classic,PDC Premier,Final,Lost,Peter Manley,12 V 16,95.07
19212,John Part,05/07/2003,Las Vegas Desert Classic,PDC Premier,Semi Final,Won,Phil Taylor,13 V 10,95.67
19213,John Part,05/07/2003,Las Vegas Desert Classic,PDC Premier,Quarter Final,Won,Dennis Smith,8 V 3,99.24
19214,John Part,05/01/2003,PDC World Championship,PDC WC,Final,Won,Phil Taylor,7 V 6,96.87
19215,John Part,05/01/2003,PDC World Championship,PDC WC,Semi Final,Won,Kevin Painter,6 V 4,93.21
19216,John Part,05/01/2003,PDC World Championship,PDC WC,Quarter Final,Won,Chris Mason,5 V 0,95.49
19217,John Part,05/01/2003,PDC World Championship,PDC WC,Last 16,Won,Jamie Harvey,5 V 3,96.69
19218,John Part,05/01/2003,PDC World Championship,PDC WC,Last 32,Won,Cliff Lazarenko,4 V 1,88.68
19219,John Part,18/10/2002,World Grand Prix,PDC Premier,Final,Lost,Phil Taylor,3 V 7,d 88.62
19220,John Part,18/10/2002,World Grand Prix,PDC Premier,Semi Final,Won,Andy Jenkins,6 V 1,d 84.96
19221,John Part,18/10/2002,World Grand Prix,PDC Premier,Quarter Final,Won,Dennis Smith,4 V 1,d 87.66
19222,John Part,29/07/2002,World Matchplay,PDC Premier,Final,Lost,Phil Taylor,16 V 18,94.14
19223,John Part,29/07/2002,World Matchplay,PDC Premier,Semi Final,Won,Colin Lloyd,17 V 12,91.32
19224,John Part,29/07/2002,World Matchplay,PDC Premier,Quarter Final,Won,Bob Anderson,16 V 5,95.19
19225,John Part,06/07/2002,Las Vegas Desert Classic,PDC Premier,Quarter Final,Lost,Ronnie Baxter,1 V 2,89.52
19226,John Part,06/07/2002,Las Vegas Desert Classic,PDC Premier,Last 16,Won,Richie Burnett,2 V 0,92.13
19227,John Part,05/01/2002,PDC World Championship,PDC WC,Quarter Final,Lost,Phil Taylor,0 V 6,92.91
19228,John Part,05/01/2002,PDC World Championship,PDC WC,Last 16,Won,Steve Beaton,6 V 0,98.67
19229,John Part,05/01/2002,PDC World Championship,PDC WC,Last 32,Won,Mick Manning,4 V 2,93.51
19230,John Part,18/10/2001,World Grand Prix,PDC Premier,Quarter Final,Lost,Roland Scholten,3 V 6,d 86.88
19231,John Part,29/07/2001,World Matchplay,PDC Premier,Quarter Final,Lost,Phil Taylor,4 V 16,92.55
19232,John Part,03/01/2001,PDC World Championship,PDC WC,Final,Lost,Phil Taylor,0 V 7,92.58
19233,John Part,03/01/2001,PDC World Championship,PDC WC,Semi Final,Won,Rod Harrington,6 V 5,90.99
19234,John Part,03/01/2001,PDC World Championship,PDC WC,Quarter Final,Won,Alan Warriner-Little,4 V 1,93.27
19235,John Part,03/01/2001,PDC World Championship,PDC WC,Last 16,Won,Dennis Smith,3 V 2,90.93
19236,John Part,03/01/2001,PDC World Championship,PDC WC,Last 32,Won,Colin Lloyd,3 V 0,89.79
19237,John Part,18/10/2000,World Grand Prix,PDC Premier,Quarter Final,Lost,Peter Manley,4 V 6,d 81.96
19238,John Part,04/01/2000,PDC World Championship,PDC WC,Last 16,Lost,Dennis Smith,0 V 3,90.48
19239,John Part,04/01/2000,PDC World Championship,PDC WC,Last 32,Won,John Ferrell,3 V 0,97.32
19240,John Part,02/01/1999,PDC World Championship,PDC WC,Last 32,Lost,Alan Warriner-Little,0 V 3,79.35
19241,John Part,04/01/1998,PDC World Championship,PDC WC,Last 24 Group,Lost,Peter Evison,2 V 3,85.32
19242,John Part,04/01/1998,PDC World Championship,PDC WC,Last 24 Group,Won,Paul Lim,3 V 1,81.42
19243,John Part,06/12/1997,World Masters,WDF Major,Last 16,Lost,Ronnie Baxter,0 V 2,82.11
19244,John Part,12/01/1997,BDO World Championship,WDF WC,Last 16,Lost,Roger Carter,1 V 3,86.79
19245,John Part,12/01/1997,BDO World Championship,WDF WC,Last 32,Won,Alan Brown (Sco),3 V 1,87.54
19246,John Part,07/01/1996,BDO World Championship,WDF WC,Last 16,Lost,Steve Beaton,0 V 3,89.19
19247,John Part,07/01/1996,BDO World Championship,WDF WC,Last 32,Won,Paul Williams,3 V 2,84.90
19248,John Part,08/01/1995,BDO World Championship,WDF WC,Last 16,Lost,Paul Williams,2 V 3,86.25
19249,John Part,08/01/1995,BDO World Championship,WDF WC,Last 32,Won,Paul Knighton,3 V 2,82.92
19250,John Part,08/01/1994,BDO World Championship,WDF WC,Final,Won,Bobby George,6 V 0,82.44
19251,John Part,08/01/1994,BDO World Championship,WDF WC,Semi Final,Won,Ronnie Sharp,5 V 1,88.98
19252,John Part,08/01/1994,BDO World Championship,WDF WC,Quarter Final,Won,Steve McCollum,4 V 0,90.99
19253,John Part,08/01/1994,BDO World Championship,WDF WC,Last 16,Won,Paul Lim,3 V 0,83.22
19254,John Part,08/01/1994,BDO World Championship,WDF WC,Last 32,Won,Ronnie Baxter,3 V 0,85.23
19255,Vincent Kamphuis,27/06/2018,PDPA Players Championship Barnsley 16,PDC Pro Tour,Last 128,Lost,Johnny Clayton,5 V 6,93.28
19256,Vincent Kamphuis,26/06/2018,PDPA Players Championship Barnsley 15,PDC Pro Tour,Last 128,Lost,Dimitri van den Bergh,5 V 6,81.00
19257,Vincent Kamphuis,17/06/2018,PDPA Players Championship Wigan 14,PDC Pro Tour,Last 128,Lost,Adrian Lewis,2 V 6,88.33
19258,Vincent Kamphuis,16/06/2018,PDPA Players Championship Wigan 13,PDC Pro Tour,Last 128,Lost,Ryan Joyce,0 V 6,66.44
19259,Vincent Kamphuis,20/05/2018,PDPA Players Championship Milton Keynes 12,PDC Pro Tour,Last 128,Lost,Gary Anderson,3 V 6,86.72
19260,Vincent Kamphuis,19/05/2018,PDPA Players Championship Milton Keynes 11,PDC Pro Tour,Last 64,Lost,Steve Lennon,3 V 6,88.89
19261,Vincent Kamphuis,19/05/2018,PDPA Players Championship Milton Keynes 11,PDC Pro Tour,Last 128,Won,Sven Groen,6 V 4,88.09
